Front,Back,Plus
und,and,"{""plus"", ""and also"", ""and""}"
die,the,"{""those"", ""that"", ""the"", ""who"", ""whom"", ""which"", ""these"", ""this one"", ""that one""}"
sie,she,"{""her"", ""she"", ""them"", ""they""}"
der,of the,"{""that"", ""the"", ""who"", ""whom"", ""which"", ""this one"", ""that one""}"
er,he,"{""he""}"
ich,I,"{""I""}"
das,the,"{""that"", ""this"", ""the"", ""who"", ""whom"", ""which""}"
zu,to,"{""for"", ""to"", ""of"", ""too"", ""overly""}"
in,in,"{""trendy"", ""very fashionable"", ""at"", ""in"", ""to"", ""inside"", ""into"", ""within"", ""to the inside""}"
sich,yourself,"{""you"", ""yourselves"", ""yourself"", ""itself"", ""himself"", ""herself"", ""oneself"", ""themselves""}"
den,the,"{""who"", ""whom"", ""that"", ""which""}"
nicht,Not,"{""not""}"
war,was,"Missing[""NotAvailable""]"
es,it,"{""it""}"
auf,on,"{""by"", ""to"", ""up"", ""out of bed"", ""on"", ""upon""}"
mit,With,"{""with"", ""along"", ""of"", ""containing"", ""by"", ""per"", ""for each"", ""on top"", ""topped with""}"
ein,on,"{""one"", ""a certain"", ""some"", ""a"", ""an""}"
hatte,would have,"Missing[""NotAvailable""]"
von,from,"{""out of"", ""of"", ""from"", ""coming from"", ""originating from"", ""by""}"
dass,that,"Missing[""NotAvailable""]"
an,on,"{""to""}"
dem,the,"{""who"", ""whom"", ""that"", ""which""}"
eine,a,"{""one"", ""a certain"", ""some"", ""a"", ""an""}"
wie,how,"{""like"", ""for example"", ""such as"", ""how"", ""in the same way as"", ""as"", ""eh"", ""just like"", ""just as""}"
ist,is,"Missing[""NotAvailable""]"
als,as,"{""when"", ""once"", ""than"", ""as"", ""in the same way as""}"
du,you,"{""you""}"
aber,but,"{""but"", ""though"", ""nevertheless"", ""yet"", ""still"", ""however"", ""except that"", ""only""}"
was,What,"{""what"", ""that which"", ""pardon"", ""excuse me"", ""eh""}"
so,so,"{""thus"", ""so"", ""in such a way"", ""in such a manner"", ""in order that"", ""that"", ""this"", ""consequently"", ""hence"", ""as a result"", ""to such an extent"", ""to such a degree"", ""sic""}"
ihr,her,"{""her"", ""their"", ""you""}"
aus,out,"{""of"", ""out of"", ""because of"", ""from""}"
noch,yet,"{""nor"", ""still"", ""yet"", ""even"", ""else"", ""more""}"
einen,one,"Missing[""NotAvailable""]"
um,around,"{""around"", ""at"", ""surrounding""}"
wir,we,"{""we""}"
im,in the,"Missing[""NotAvailable""]"
ihn,him,"{""him""}"
mir,me,"{""me""}"
für,For,"{""for"", ""to"", ""of"", ""in return for"", ""per"", ""for each"", ""pro"", ""in favor of""}"
ihm,him,"{""him""}"
auch,also,"{""also"", ""too"", ""as well"", ""in addition""}"
wenn,if,"{""when"", ""considering that"", ""once"", ""if"", ""in case""}"
nach,after,"{""to"", ""after"", ""according to"", ""in accordance with"", ""under"", ""beyond"", ""later than"", ""past""}"
sein,his,"{""his"", ""its"", ""be"", ""exist"", ""be located""}"
dann,then,"{""then"", ""in that case"", ""well"", ""and then"", ""at that time""}"
mich,me,"{""me"", ""myself""}"
hat,Has,"Missing[""NotAvailable""]"
nur,just,"{""pure"", ""mere"", ""simple"", ""simply"", ""only"", ""just"", ""merely"", ""but"", ""entirely"", ""except that"", ""exclusively"", ""solely""}"
einem,one,"Missing[""NotAvailable""]"
des,of,"Missing[""NotAvailable""]"
vor,in front,"{""ago"", ""since"", ""before"", ""in front of"", ""earlier than"", ""by"", ""prior to"", ""to"", ""of"", ""till"", ""until""}"
sagte,said,"Missing[""NotAvailable""]"
seine,his,"{""his"", ""its""}"
über,about,"{""across"", ""over"", ""above"", ""beyond"", ""past"", ""about"", ""by"", ""via"", ""by way of"", ""to spare"", ""left over"", ""later than"", ""concerning"", ""connected with"", ""in regard to"", ""regarding"", ""as regards""}"
ihre,your,"{""her"", ""their"", ""theirs"", ""hers""}"
doch,but,"{""anyway"", ""anyhow"", ""in any case"", ""nevertheless"", ""nonetheless"", ""in spite of this"", ""in spite of that"", ""though"", ""but"", ""yet"", ""still"", ""however"", ""except that"", ""only""}"
einer,one,"{""either"", ""one or the other"", ""either two"", ""anyone"", ""anybody"", ""one""}"
haben,to have,"{""have""}"
wieder,again,"{""again"", ""once more"", ""anew"", ""afresh"", ""once again""}"
waren,were,"Missing[""NotAvailable""]"
man,you,"{""one"", ""they"", ""you""}"
oder,or,"{""or""}"
da,there,"{""because"", ""since"", ""for"", ""for the reason that"", ""by reason of"", ""as"", ""thereabouts"", ""thereabout""}"
schon,beautiful,"{""already""}"
ja,Yes,"{""aye"", ""yea"", ""yes""}"
konnte,could,"Missing[""NotAvailable""]"
habe,have,"Missing[""NotAvailable""]"
bei,at,"{""at"", ""in"", ""with"", ""by"", ""near"", ""next to""}"
würde,would,"Missing[""NotAvailable""]"
mehr,more,"{""more"", ""additional"", ""supplementary"", ""extra"", ""further"", ""more specific"", ""more detailed""}"
zum,to the,"Missing[""NotAvailable""]"
immer,always,"{""always"", ""forever"", ""all the time"", ""at all times"", ""ever"", ""incessantly""}"
am,at the,"Missing[""NotAvailable""]"
hier,here,"{""here"", ""this"", ""this place""}"
jetzt,now,"{""now""}"
